,Odds,Probabilty,Relative Imp
(Intercept),0.46246847,,
ContractRenewal1,0.091348413,0.083702338,0.001927422
DataPlan1,0.164515334,0.141273652,0.00347122
DataUsage,34.48234003,0.971816966,0.727566232
AccountWeeks,1.001087165,0.500271644,0.021122616
CustServCalls,5.935821068,0.855820963,0.125243906
DayMins,0.953170897,0.488012031,0.020111598
RoamMins,0.838755706,0.456153965,0.017697474
DataUsage:MonthlyCharge,0.942362007,0.485162912,0.019883534
MonthlyCharge:CustServCalls,0.978228452,0.494497211,0.020640304
MonthlyCharge:DayMins,1.00073356,0.500183323,0.021115155
MonthlyCharge:RoamMins,1.005728146,0.501427947,0.021220539
,47.39409078,,
